partida_id,rodada,data,hora,mandante,visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
5547,19,2016-08-06,18:30:00,Flamengo,Athletico-PR,J. Mannarino,P. Autuori de Mello,Flamengo,Kléber Andrade,1,0,RJ,PR
5548,19,2016-08-07,11:00:00,America-MG,Santos,E. Alves Moreira,D. Silvestre Júnior,America-MG,Estádio Raimundo Sampaio,1,0,MG,SP
5549,19,2016-08-07,16:00:00,Coritiba,Ponte Preta,E. Pacheco,E. Baptista,Coritiba, Couto Pereira,3,1,PR,SP
5550,19,2016-08-07,15:59:00,Palmeiras,Vitoria,A. Stival,V. Carmo Mancini,Palmeiras,Allianz Parque,2,1,SP,BA
5551,19,2016-08-07,16:15:00,Santa Cruz,Sao Paulo,M. Mendes,A. Soares Jardine,Sao Paulo,Estádio do Arruda,1,2,PE,SP
5552,19,2016-08-07,16:17:00,Internacional,Fluminense,Falcao,L. Culpi,-,Estádio José Pinheiro Borda,2,2,RS,RJ
5553,19,2016-08-07,18:31:00,Figueirense,Sport,A. Fucks,O. de Oliveira Filho,-, Orlando Scarpelli,1,1,SC,PE
5554,19,2016-08-08,20:00:00,Atletico-MG,Chapecoense,M. de Oliveira Santos,L. Saroli Caio Júnior,Atletico-MG,Estádio Raimundo Sampaio,3,1,MG,SC
5555,19,2016-08-08,21:02:00,Corinthians,Cruzeiro,C. Borges dos Santos,L. Venker de Menezes,-,Estádio Municipal Paulo Machado de Carvalho,1,1,SP,MG
5557,20,2016-08-13,15:59:00,Sport,Flamengo,O. de Oliveira Filho,J. Mannarino,Sport,Arena de Pernambuco,1,0,PE,RJ
5558,20,2016-08-13,18:32:00,Ponte Preta,Figueirense,E. Baptista,A. Fucks,Ponte Preta, Moisés Lucarelli,2,0,SP,SC
5559,20,2016-08-14,11:00:00,Fluminense,America-MG,L. Culpi,E. Alves Moreira,Fluminense,Kléber Andrade,1,0,RJ,MG
5560,20,2016-08-14,11:01:00,Gremio,Corinthians,R. Machado Marques,C. Borges dos Santos,Gremio,Arena do Grêmio,3,0,RS,SP
5561,20,2016-08-14,15:59:00,Cruzeiro,Coritiba,L. Venker de Menezes,P. Carpegiani,-,Estádio Raimundo Sampaio,2,2,MG,PR
5562,20,2016-08-14,16:02:00,Santos,Atletico-MG,D. Silvestre Júnior,M. de Oliveira Santos,Santos,Estádio Urbano Caldeira,3,0,SP,MG
5563,20,2016-08-14,15:58:00,Vitoria,Santa Cruz,V. Carmo Mancini,A. Felix Teixeira,-, Barradão,2,2,BA,PE
5564,20,2016-08-14,16:18:00,Sao Paulo,Botafogo-RJ,A. Soares Jardine,J. Ribeiro Ventura,Botafogo-RJ, Morumbi,0,1,SP,RJ
5565,20,2016-08-14,18:30:00,Athletico-PR,Palmeiras,P. Autuori de Mello,A. Stival,Palmeiras,Estádio Joaquim Américo Guimarães,0,1,PR,SP
5566,20,2016-08-15,20:01:00,Chapecoense,Internacional,L. Saroli Caio Júnior,C. Juarez Roth,Chapecoense,Arena Condá,1,0,SC,RS
5567,21,2016-08-19,21:30:00,America-MG,Chapecoense,E. Alves Moreira,L. Saroli Caio Júnior,Chapecoense,Estádio Raimundo Sampaio,1,2,MG,SC
5568,21,2016-08-20,21:00:00,Botafogo-RJ,Sport,J. Ribeiro Ventura,O. de Oliveira Filho,Botafogo-RJ,Helenão,3,0,RJ,PE
5569,21,2016-08-21,11:01:00,Flamengo,Gremio,J. Mannarino,R. Machado Marques,Flamengo,Estádio Nacional de Brasília,2,1,RJ,RS
5570,21,2016-08-21,10:59:00,Atletico-MG,Athletico-PR,M. de Oliveira Santos,P. Autuori de Mello,Atletico-MG,Estádio Raimundo Sampaio,1,0,MG,PR
5571,21,2016-08-21,16:00:00,Internacional,Sao Paulo,C. Juarez Roth,R. Gomes Raymundo,-,Estádio José Pinheiro Borda,1,1,RS,SP
5572,21,2016-08-21,15:59:00,Santa Cruz,Fluminense,D. Ghidoni Junior,L. Culpi,Fluminense,Estádio do Arruda,0,1,PE,RJ
5573,21,2016-08-21,15:58:00,Palmeiras,Ponte Preta,A. Stival,E. Baptista,-,Allianz Parque,2,2,SP,SP
5574,21,2016-08-21,18:02:00,Coritiba,Santos,P. Carpegiani,D. Silvestre Júnior,Coritiba, Couto Pereira,2,1,PR,SP
5575,21,2016-08-21,18:33:00,Figueirense,Cruzeiro,A. Fucks,L. Venker de Menezes,Cruzeiro, Orlando Scarpelli,1,2,SC,MG
5576,21,2016-08-22,20:02:00,Corinthians,Vitoria,C. Borges dos Santos,V. Carmo Mancini,Corinthians,Neo Química Arena,2,1,SP,BA
5577,22,2016-08-27,16:03:00,Ponte Preta,Corinthians,E. Baptista,C. Borges dos Santos,Ponte Preta, Moisés Lucarelli,2,0,SP,SP
5578,22,2016-08-28,11:01:00,Cruzeiro,Santa Cruz,L. Venker de Menezes,D. Ghidoni Junior,Cruzeiro, Mineirão,2,0,MG,PE
5579,22,2016-08-28,11:00:00,Santos,Figueirense,D. Silvestre Júnior,T. Guimarães,Figueirense,Estádio Urbano Caldeira,0,1,SP,SC
5580,22,2016-08-28,15:59:00,Gremio,Atletico-MG,R. Machado Marques,M. de Oliveira Santos,-,Arena do Grêmio,1,1,RS,MG
5581,22,2016-08-28,16:00:00,Fluminense,Palmeiras,L. Culpi,A. Stival,Palmeiras,Estádio Nacional de Brasília,0,2,RJ,SP
5582,22,2016-08-28,16:02:00,Chapecoense,Flamengo,L. Saroli Caio Júnior,J. Mannarino,Flamengo,Arena Condá,1,3,SC,RJ
5583,22,2016-08-28,16:01:00,Sao Paulo,Coritiba,R. Gomes Raymundo,P. Carpegiani,-, Morumbi,0,0,SP,PR
5584,22,2016-08-28,18:29:00,Sport,Internacional,O. de Oliveira Filho,C. Juarez Roth,-,Arena de Pernambuco,1,1,PE,RS
5585,22,2016-08-28,18:30:00,Vitoria,America-MG,V. Carmo Mancini,E. Alves Moreira,Vitoria,Itaipava Arena Fonte Nova,2,1,BA,MG
5586,22,2016-08-29,20:00:00,Athletico-PR,Botafogo-RJ,P. Autuori de Mello,J. Ribeiro Ventura,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,RJ
5546,18,2016-09-03,16:00:00,Fluminense,Figueirense,L. Culpi,T. Guimarães,Fluminense,Estádio Giulite Coutinho,3,2,RJ,SC
5556,19,2016-09-04,16:00:00,Botafogo-RJ,Gremio,J. Ribeiro Ventura,R. Machado Marques,Botafogo-RJ,Luso-Brasileiro,2,1,RJ,RS
5587,23,2016-09-07,16:00:00,Santa Cruz,Chapecoense,D. Ghidoni Junior,L. Saroli Caio Júnior,-,Arena de Pernambuco,2,2,PE,SC
5588,23,2016-09-07,16:01:00,Figueirense,Athletico-PR,T. Guimarães,P. Autuori de Mello,Figueirense, Orlando Scarpelli,1,0,SC,PR
5589,23,2016-09-07,16:00:00,Botafogo-RJ,Fluminense,J. Ribeiro Ventura,L. Culpi,Botafogo-RJ,Luso-Brasileiro,1,0,RJ,RJ
5590,23,2016-09-07,19:30:00,Atletico-MG,Vitoria,M. de Oliveira Santos,V. Carmo Mancini,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,BA
5591,23,2016-09-07,21:45:00,Palmeiras,Sao Paulo,A. Stival,R. Gomes Raymundo,Palmeiras,Allianz Parque,2,1,SP,SP
5592,23,2016-09-07,21:47:00,Flamengo,Ponte Preta,J. Mannarino,E. Baptista,Flamengo,Kléber Andrade,2,1,RJ,SP
5593,23,2016-09-07,21:45:00,Coritiba,Gremio,P. Carpegiani,R. Machado Marques,Coritiba, Couto Pereira,4,0,PR,RS
5594,23,2016-09-08,19:32:00,Corinthians,Sport,C. Borges dos Santos,O. de Oliveira Filho,Corinthians,Neo Química Arena,3,0,SP,PE
5595,23,2016-09-08,20:59:00,America-MG,Cruzeiro,E. Alves Moreira,L. Venker de Menezes,Cruzeiro,Estádio Raimundo Sampaio,0,2,MG,MG
5596,23,2016-09-08,21:00:00,Internacional,Santos,C. Juarez Roth,D. Silvestre Júnior,Internacional,Estádio José Pinheiro Borda,2,1,RS,SP
5597,24,2016-09-10,18:30:00,Vitoria,Flamengo,V. Carmo Mancini,J. Mannarino,Flamengo, Barradão,1,2,BA,RJ
5598,24,2016-09-11,11:03:00,Chapecoense,Coritiba,L. Saroli Caio Júnior,P. Carpegiani,Chapecoense,Arena Condá,1,0,SC,PR
5599,24,2016-09-11,11:02:00,Sao Paulo,Figueirense,R. Gomes Raymundo,T. Guimarães,Sao Paulo, Morumbi,3,1,SP,SC
5600,24,2016-09-11,16:00:00,Cruzeiro,Botafogo-RJ,L. Venker de Menezes,J. Ribeiro Ventura,Botafogo-RJ, Mineirão,0,2,MG,RJ
5601,24,2016-09-11,16:01:00,Sport,Santa Cruz,O. de Oliveira Filho,D. Ghidoni Junior,Sport,Adelmar da Costa Carvalho,5,3,PE,PE
5602,24,2016-09-11,16:00:00,Athletico-PR,Internacional,P. Autuori de Mello,C. Juarez Roth,Athletico-PR,Estádio Joaquim Américo Guimarães,2,1,PR,RS
5603,24,2016-09-11,16:01:00,Santos,Corinthians,D. Silvestre Júnior,C. Borges dos Santos,Santos,Estádio Urbano Caldeira,2,1,SP,SP
5604,24,2016-09-11,18:31:00,Ponte Preta,America-MG,E. Baptista,E. Alves Moreira,-, Moisés Lucarelli,1,1,SP,MG
5605,24,2016-09-11,18:29:00,Gremio,Palmeiras,R. Machado Marques,A. Stival,-,Arena do Grêmio,0,0,RS,SP
5606,24,2016-09-12,20:00:00,Fluminense,Atletico-MG,L. Culpi,M. de Oliveira Santos,Fluminense,Estádio Giulite Coutinho,4,2,RJ,MG
5607,25,2016-09-14,19:30:00,Botafogo-RJ,Santos,J. Ribeiro Ventura,D. Silvestre Júnior,Santos,Luso-Brasileiro,0,1,RJ,SP
5608,25,2016-09-14,19:31:00,Figueirense,America-MG,T. Guimarães,E. Alves Moreira,-, Orlando Scarpelli,2,2,SC,MG
5609,25,2016-09-14,21:01:00,Ponte Preta,Gremio,E. Baptista,R. Machado Marques,Ponte Preta, Moisés Lucarelli,3,0,SP,RS
5610,25,2016-09-14,21:00:00,Santa Cruz,Athletico-PR,D. Ghidoni Junior,P. Autuori de Mello,Santa Cruz,Estádio do Arruda,1,0,PE,PR
5611,25,2016-09-14,21:46:00,Coritiba,Corinthians,P. Carpegiani,C. Borges dos Santos,-, Couto Pereira,1,1,PR,SP
5612,25,2016-09-14,21:46:00,Palmeiras,Flamengo,A. Stival,J. Mannarino,-,Allianz Parque,1,1,SP,RJ
5613,25,2016-09-15,19:30:00,Atletico-MG,Sport,M. de Oliveira Santos,O. de Oliveira Filho,Atletico-MG,Estádio Raimundo Sampaio,1,0,MG,PE
5614,25,2016-09-15,19:29:00,Fluminense,Chapecoense,L. Culpi,L. Saroli Caio Júnior,Chapecoense,Estádio Giulite Coutinho,1,2,RJ,SC
5615,25,2016-09-15,21:01:00,Sao Paulo,Cruzeiro,R. Gomes Raymundo,L. Venker de Menezes,Sao Paulo, Morumbi,1,0,SP,MG
5616,25,2016-09-15,20:59:00,Internacional,Vitoria,C. Juarez Roth,A. Fucks,Vitoria,Estádio José Pinheiro Borda,0,1,RS,BA
5617,26,2016-09-17,16:02:00,Corinthians,Palmeiras,C. Borges dos Santos,A. Stival,Palmeiras,Neo Química Arena,0,2,SP,SP
