partida_id,clube,cartao,atleta,posicao,minuto
5000,Vasco,Amarelo,Pablo Guiñazú,Meio-campo,77
5000,Vasco,Amarelo,Dagoberto Pelentier,Meio-campo,68
5000,Vasco,Amarelo,Rafael Silva dos Santos,Meio-campo,59
5001,Atletico-MG,Amarelo,Leonardo Silva,Zagueiro,25
5001,Fluminense,Amarelo,Edson Felipe da Cruz,Meio-campo,5
5002,Sport,Amarelo,Wendel Geraldo Maurício e Silva,Meio-campo,90+7
5002,Sport,Amarelo,Matheus Ferraz Pereira,Zagueiro,30
5003,Cruzeiro,Amarelo,Willian Gomes de Siqueira,Meio-campo,90+3
5003,Cruzeiro,Amarelo,Fabrício dos Santos Silva,Zagueiro,73
5004,Joinville,Amarelo,Everton Kempes dos Santos Gonçalves,Atacante,49
5004,Joinville,Amarelo,Bruno Aguiar,Zagueiro,16
5005,Ponte Preta,Amarelo,Felipe Azevedo,Meio-campo,65
5005,Sao Paulo,Amarelo,Paulo Miranda,,77
5006,Internacional,Amarelo,Victor Vinícius Coelho Santos,,90+2
5006,Internacional,Amarelo,Alan Ruschel,Zagueiro,36
5006,Avai,Amarelo,Romário Guilherme dos Santos,,89
5006,Avai,Amarelo,Pablo de Barros,Meio-campo,71
5006,Avai,Amarelo,Eduardo Neto,Meio-campo,47
5000,Figueirense,Amarelo,Thiago Heleno,Zagueiro,90+2
5000,Vasco,Amarelo,Martín Silva,Goleiro,71
5000,Vasco,Amarelo,Gilberto Oliveira Souza Junior,Atacante,64
5000,Vasco,Amarelo,Sérgio Antônio Borges Júnior,Meio-campo,28
5001,Atletico-MG,Amarelo,Carlos Júnior,Meio-campo,11
5002,Flamengo,Amarelo,Héctor Canteros,Meio-campo,45+1
5007,Sao Paulo,Amarelo,Thiago Henrique Mendes Ribeiro,Meio-campo,56
5008,Vasco,Amarelo,Rodrigo Baldasso da Costa,Zagueiro,75
5008,Vasco,Amarelo,Dagoberto Pelentier,Meio-campo,62
5008,Vasco,Amarelo,Pablo Guiñazú,Meio-campo,35
5008,Internacional,Amarelo,Alan Ruschel,Meio-campo,18
5009,Gremio,Amarelo,Marcelo Grohe,Goleiro,90+1
5009,Gremio,Amarelo,Tiago Machowski,,63
