partida_id,clube,chutes,posse_de_bola,passes,precisao_passes,faltas,impedimentos,escanteios
4987,Chapecoense,13,0.45,326,,20,3,3
4987,Coritiba,16,0.55,388,,21,0,5
4988,Palmeiras,17,0.5,406,,20,2,11
4988,Atletico-MG,10,0.5,426,,14,4,2
4989,Fluminense,26,0.74,702,,9,1,5
4989,Joinville,3,0.26,250,,14,1,3
4990,Gremio,11,0.45,401,,17,2,5
4990,Ponte Preta,17,0.55,473,,21,0,10
4991,Athletico-PR,10,0.39,335,,17,1,2
4991,Internacional,17,0.61,502,,17,1,11
4992,Sao Paulo,19,0.54,502,,17,1,4
4992,Flamengo,12,0.46,430,,12,6,6
4993,Cruzeiro,13,0.56,487,,17,4,2
4993,Corinthians,11,0.44,391,,15,2,4
4994,Sport,17,0.54,449,,17,0,7
4994,Figueirense,7,0.46,391,,14,3,1
4995,Avai,16,0.51,462,,10,2,4
4995,Santos,8,0.49,452,,11,2,3
4996,Vasco,11,0.62,439,,16,0,4
4996,Goias,5,0.38,279,,27,2,2
4997,Goias,13,0.41,334,,14,0,6
4997,Athletico-PR,8,0.59,477,,18,1,5
4998,Coritiba,9,0.43,353,,22,3,2
4998,Gremio,10,0.57,456,,13,4,4
4999,Corinthians,13,0.46,437,,16,1,7
4999,Chapecoense,11,0.54,487,,13,5,2
5000,Figueirense,12,0.47,381,,18,3,6
5000,Vasco,14,0.53,436,,13,0,7
5001,Atletico-MG,16,0.54,466,,17,1,7
5001,Fluminense,8,0.46,411,,9,2,0
5002,Flamengo,18,0.59,492,,10,6,13
5002,Sport,14,0.41,373,,7,1,3
5003,Santos,20,0.44,351,,18,2,15
5003,Cruzeiro,7,0.56,445,,13,5,3
5004,Joinville,8,0.39,377,,17,5,1
5004,Palmeiras,11,0.61,589,,12,3,5
5005,Ponte Preta,19,0.4,373,,15,5,6
5005,Sao Paulo,10,0.6,549,,14,1,4
5006,Internacional,8,0.57,451,,17,2,4
5006,Avai,6,0.43,345,,26,4,9
5007,Sao Paulo,16,0.63,642,,12,3,5
5007,Joinville,7,0.37,380,,11,1,0
5008,Vasco,13,0.61,466,,15,1,8
5008,Internacional,7,0.39,312,,16,0,1
5009,Gremio,19,0.63,536,,16,1,11
5009,Figueirense,5,0.37,326,,24,1,4
5010,Palmeiras,21,0.74,445,,13,5,13
5010,Goias,7,0.26,171,,24,1,6
5011,Chapecoense,13,0.4,307,,13,3,4
5011,Santos,15,0.6,462,,20,3,5
5012,Athletico-PR,11,0.36,324,,7,4,2
5012,Atletico-MG,16,0.64,537,,8,3,9
5013,Fluminense,15,0.42,355,,19,2,9
5013,Corinthians,7,0.58,500,,6,3,6
5014,Avai,13,0.43,338,,15,0,4
5014,Flamengo,8,0.57,443,,17,7,2
5015,Cruzeiro,22,0.54,390,,17,3,16
5015,Ponte Preta,15,0.46,357,,11,4,3
5016,Sport,12,0.49,388,,13,1,2
5016,Coritiba,9,0.51,385,,17,0,5
5017,Ponte Preta,13,0.47,438,,20,1,0
5017,Chapecoense,14,0.53,483,,15,0,4
5018,Coritiba,11,0.58,413,,17,3,5
5018,Avai,11,0.42,310,,21,0,3
5019,Joinville,10,0.54,464,,12,1,4
5019,Athletico-PR,19,0.46,399,,13,4,7
5020,Santos,18,0.54,472,,9,6,8
5020,Sport,15,0.46,415,,11,0,7
5021,Goias,10,0.41,345,,14,0,2
5021,Gremio,9,0.59,495,,14,1,3
5022,Atletico-MG,21,0.53,457,,16,2,5
5022,Vasco,9,0.47,413,,12,3,7
5023,Corinthians,9,0.54,477,,21,4,2
5023,Palmeiras,12,0.46,409,,21,3,6
5024,Internacional,8,0.54,516,,19,3,5
5024,Sao Paulo,14,0.46,434,,17,3,10
5025,Flamengo,15,0.67,475,,24,1,8
5025,Fluminense,7,0.33,253,,23,0,1
5026,Figueirense,9,0.32,266,,17,2,5
5026,Cruzeiro,22,0.68,545,,11,1,4
5027,Athletico-PR,12,0.47,385,,12,1,6
5027,Figueirense,9,0.53,442,,8,5,4
5028,Vasco,14,0.52,441,,15,0,6
5028,Ponte Preta,16,0.48,417,,18,3,2
5029,Chapecoense,10,0.53,349,,16,1,7
5029,Joinville,12,0.47,314,,12,1,10
5030,Sao Paulo,13,0.63,531,,14,1,8
5030,Santos,8,0.37,329,,15,0,1
5031,Cruzeiro,11,0.52,410,,16,2,5
5031,Flamengo,8,0.48,378,,17,1,10
5032,Avai,7,0.46,395,,12,3,10
5032,Atletico-MG,16,0.54,479,,15,4,7
5033,Gremio,13,0.38,397,,22,6,3
5033,Corinthians,20,0.62,627,,10,0,5
5034,Fluminense,12,0.53,451,,13,1,3
5034,Coritiba,8,0.47,414,,24,3,4
5035,Sport,16,0.67,597,,11,4,7
5035,Goias,9,0.33,296,,13,1,3
5036,Palmeiras,15,0.57,456,,15,3,9
5036,Internacional,5,0.43,354,,13,1,2
5037,Atletico-MG,14,0.64,462,,12,3,7
5037,Cruzeiro,11,0.36,268,,13,2,6
5038,Flamengo,18,0.64,437,,13,2,5
5038,Chapecoense,6,0.36,262,,12,1,1
5039,Santos,18,0.52,451,,17,2,6
5039,Ponte Preta,19,0.48,416,,15,3,2
5040,Athletico-PR,13,0.45,380,,15,2,7
5040,Vasco,14,0.55,480,,7,2,3
