partida_id,clube,chutes,chutes_no_alvo,posse_de_bola,precisao_passes,faltas,impedimentos,escanteios
4987,Chapecoense,13,0,0.45,,20,3,3
4987,Coritiba,16,0,0.55,,21,0,5
4988,Palmeiras,17,0,0.5,,20,2,11
4988,Atletico-MG,10,0,0.5,,14,4,2
4989,Fluminense,26,11,0.74,,9,1,5
4989,Joinville,3,0,0.26,,14,1,3
4990,Gremio,11,0,0.45,,17,2,5
4990,Ponte Preta,17,0,0.55,,21,0,10
4991,Athletico-PR,10,0,0.39,,17,1,2
4991,Internacional,17,0,0.61,,17,1,11
4992,Sao Paulo,19,0,0.54,,17,1,4
4992,Flamengo,12,0,0.46,,12,6,6
4993,Cruzeiro,13,0,0.56,,17,4,2
4993,Corinthians,11,0,0.44,,15,2,4
4994,Sport,17,0,0.54,,17,0,7
4994,Figueirense,7,0,0.46,,14,3,1
4995,Avai,16,0,0.51,,10,2,4
4995,Santos,8,0,0.49,,11,2,3
4996,Vasco,11,0,0.62,,16,0,4
4996,Goias,5,0,0.38,,27,2,2
4997,Goias,13,0,0.41,,14,0,6
4997,Athletico-PR,8,0,0.59,,18,1,5
4998,Coritiba,9,0,0.43,,22,3,2
4998,Gremio,10,0,0.57,,13,4,4
4999,Corinthians,13,0,0.46,,16,1,7
4999,Chapecoense,11,0,0.54,,13,5,2
5000,Figueirense,12,0,0.47,,18,3,6
5000,Vasco,14,0,0.53,,13,0,7
5001,Atletico-MG,16,8,0.54,,17,1,7
5001,Fluminense,8,2,0.46,,9,2,0
5002,Flamengo,18,0,0.59,,10,6,13
5002,Sport,14,0,0.41,,7,1,3
5003,Santos,20,0,0.44,,18,2,15
5003,Cruzeiro,7,0,0.56,,13,5,3
5004,Joinville,8,0,0.39,,17,5,1
5004,Palmeiras,11,0,0.61,,12,3,5
5005,Ponte Preta,19,0,0.4,,15,5,6
5005,Sao Paulo,10,0,0.6,,14,1,4
5006,Internacional,8,0,0.57,,17,2,4
5006,Avai,6,0,0.43,,26,4,9
5007,Sao Paulo,16,0,0.63,,12,3,5
